x,y,score,dist,stereotype,appropriate
Grecian_inspired,pinstripe_pants,0.3253253996372223,0.8373408913612366,unknown,unknown
strapless_backless,elasticated_waist,0.32267969846725464,0.8962334990501404,unknown,unknown
Willis_Aronowitz,kevin_keating_staff,0.3141222894191742,0.9245535135269165,unknown,unknown
stargazer_lily,monarda,0.3078997731208801,0.96153324842453,unknown,unknown
Olay_Quench,dandruff_shampoo,0.3041756749153137,0.993079662322998,unknown,unknown
breast_prostheses,orthoses,0.3029366433620453,0.954092800617218,unknown,unknown
lingerie_swimwear,sportswear_footwear,0.3028547167778015,0.8212857246398926,unknown,unknown
esthetician,naturopathic_doctor,0.3024294376373291,0.9148468971252441,unknown,unknown
handmade_beaded_jewelry,lamps_chandeliers,0.29664021730422974,0.9475303292274475,unknown,unknown
mommies,daddies,0.2948474884033203,0.8553810119628906,unknown,unknown
nightdress,dressing_gown,0.29310503602027893,0.8183012008666992,unknown,unknown
feminine,masculine,0.2879902720451355,0.7005147933959961,unknown,unknown
lipgloss,mattifying,0.28409868478775024,0.8786171078681946,unknown,unknown
floral_fragrance,floral_aromas,0.2807999551296234,0.8170183897018433,unknown,unknown
crocheted_blankets,hats_mittens_scarves,0.2803572714328766,0.8489937782287598,unknown,unknown
breast_cancer_survivor,cancer_survivor,0.2779022753238678,0.7953194975852966,unknown,unknown
donor_insemination,sperm_donation,0.272255539894104,0.8668586015701294,unknown,unknown
transracially_adopted,genders_ethnicities,0.2676829993724823,0.9854064583778381,unknown,unknown
bridal_dresses,sherwanis,0.2475612312555313,0.9372669458389282,unknown,unknown
silk_organza_gown,chiffon_skirt,0.24677768349647522,0.7426252365112305,unknown,unknown
chick_lit,literary_fiction,0.23645459115505219,0.8393113017082214,unknown,unknown
lipsticks,hair_dye,0.23406833410263062,0.9415811896324158,unknown,unknown
Latina,latino,0.2321714609861374,0.9275864362716675,unknown,unknown
celeb_stylist,celebrity_hair_stylist,0.22479282319545746,0.8023614883422852,unknown,unknown
maternity_clothes,onesies,0.21890757977962494,0.9288055896759033,unknown,unknown
Itay_Malkin,rolex_watches,0.20001764595508575,0.9934988617897034,unknown,unknown
brides_bridesmaids,florists_photographers,0.1917826533317566,0.8681135177612305,unknown,unknown
fashionista,fashionistas,0.15507210791110992,0.7229864001274109,unknown,unknown
pageant,beauty_pageant,0.05758754909038544,0.6686901450157166,unknown,unknown
wedding_gowns,wedding_dresses,0.04508574679493904,0.6768466234207153,unknown,unknown
